"Rewards","Nagrody"
"Purchase Info","Informacja przy zakupie"
"About Brand","O marce"
"Edit Brand '%s'","Edycja marki '%s'"
"You have not enough points to obtain this reward","Nie masz wystarczającej ilości punktów"
"Voucher purchased","Voucher został zakupiony"
"About Purchase","O zakupie"
"Preview Email","Podgląd email"
"User daily limit","Limit dzienny (na użytkownika)"
"General daily limit","Limit dzienny (ogólny)"
"Daily transaction limit exceeded","Przekroczono dzienny limit transakcji"
"This voucher is not available","Ten voucher jest niedostępny"
"Regulations Url","Strona regulaminu"
"Resend","Wyślij ponownie"
"Requested product quantity is incorrect","Żądana ilość nie jest już dostępna"
"Log All","Loguj wszystko"
"Security Risk","Ryzyko bezpieczeństwa"
"Expires At","Wygasa"
"Purchased At","Zakupiono"
